date,title,authors,abstract,title_trans,abst_trans
"
  [Submitted on 9 Dec 2024]",Title:Random regular graph states are complex at almost any depth,"Authors:Soumik Ghosh, Dominik Hangleiter, Jonas Helsen","Abstract:Graph states are fundamental objects in the theory of quantum information due to their simple classical description and rich entanglement structure. They are also intimately related to IQP circuits, which have applications in quantum pseudorandomness and quantum advantage. For us, they are a toy model to understand the relation between circuit connectivity, entanglement structure and computational complexity. In the worst case, a strict dichotomy in the computational universality of such graph states appears as a function of the degree $d$ of a regular graph state [GDH+23]. In this paper, we initiate the study of the average-case complexity of simulating random graph states of varying degree when measured in random product bases and give distinct evidence that a similar complexity-theoretic dichotomy exists in the average case. Specifically, we consider random $d$-regular graph states and prove three distinct results: First, we exhibit two families of IQP circuits of depth $d$ and show that they anticoncentrate for any $2 < d = o(n)$ when measured in a random $X$-$Y$-plane product basis. This implies anticoncentration for random constant-regular graph states. Second, in the regime $d = \Theta(n^c)$ with $c \in (0,1)$, we prove that random $d$-regular graph states contain polynomially large grid graphs as induced subgraphs with high probability. This implies that they are universal resource states for measurement-based computation. Third, in the regime of high degree ($d\sim n/2$), we show that random graph states are not sufficiently entangled to be trivially classically simulable, unlike Haar random states. Proving the three results requires different techniques--the analysis of a classical statistical-mechanics model using Krawtchouck polynomials, graph theoretic analysis using the switching method, and analysis of the ranks of submatrices of random adjacency matrices, respectively.    ",タイトル：ランダムな通常のグラフ状態は、ほぼすべての深さで複雑です,著者：Soumik Ghosh、Dominik Hangleiter、Jonas Helsen
"
  [Submitted on 9 Dec 2024]",Title:Exploiting SU(N ) dynamical symmetry for rovibronic stabilization of a weakly bound diatomic molecule,"Authors:Diego F. Uribe, Mateo Londoño, Julio C. Arce","Abstract:We propose a multilevel scheme to coherently transfer the population of a diatomic molecule from a rovibrational level to a target rovibrational level of the same electronic state or another. It involves a linear chain of N rovibrational levels alternating between the initial electronic state and a second electronic state, conveniently selected according to the dipole couplings between consecutive levels. A set of N - 1 simultaneous weak laser $\pi$ pulses, with simple analytical shapes, each in resonance between two neighbors of the chain, transfers the population from the initial rovibronic state gradually and consecutively through the chain, until at the end of the process it resides in the target rovibronic state, as in a kind of ping-pong game between the two electronic states. Using the partial-wave expansion of the molecular wave function, vibrational bases within the J manifolds of each electronic state, and the rotating-wave approximation (RWA), we map the radial Hamiltonian to the one of a spin s = (N - 1)/2 under a static magnetic field, providing an analytical formula for the populations of the linked states. As an illustration, we apply the scheme to the stabilization into the absolute ground state of a KRb molecule initially in the high-lying $\upsilon$ = 75, J = 6 level of the ground electronic state $X^{1}\Sigma^{+}$. With a chain of seven rovibronic states, three of them belonging to the excited $A^{1}\Sigma^{+}$ electronic state, and pulses of 0.4 ns of duration, the population is fully transferred into the target state in about 1 ns.    ",タイトル：弱く結合した二原子分子のロビブロニック安定化のためのSU（N）動的対称性,著者：ディエゴF.ウリベ、マテオロンドニョ、ジュリオC.アース
"
  [Submitted on 9 Dec 2024]",Title:Entanglement of Assistance as a measure of multiparty entanglement,"Authors:Indranil Biswas, Atanu Bhunia, Subrata Bera, Indrani Chattopadhyay, Debasis Sarkar","Abstract:Quantifying multipartite entanglement poses a significant challenge in quantum information theory, prompting recent advancements in methodologies to assess it. We introduce the notion of \enquote{Volume of Assistance} (VoA), which computes the geometric mean of entanglement of assistance across all potential parties. We demonstrate the feasibility of VoA for three-qubit pure states and certain classes of pure tripartite qudit states. We have extended this measure to four-qubit states and general multipartite scenarios. We have done a comparative analysis to illustrate VoA's distinctiveness from established entanglement measures, notably showing it serves as an upper bound for the much celebrated generalized geometric measure (GGM). Remarkably, VoA excels in distinguishing a broad class of states that elude differentiation by the recently proposed Minimum Pairwise Concurrence (MPC) measure. Finally, VoA is applied to quantify genuine entanglement in the ground states of a three-qubit Heisenberg XY model, which highlights its practical utility in quantum information processing tasks.    ",タイトル：マルチパーティの絡み合いの尺度としての支援の絡み合い,著者：インドラニル・ビスワス、アタヌ・ブーニア、サブラタ・ベラ、インドラニ・チャットパディヤイ、デバシス・サルカル
"
  [Submitted on 9 Dec 2024]",Title:Various Modifications to Debye-Hückel Interactions in Solar Equations of State,"Authors:Regner Trampedach, Werner Däppen","Abstract:The first order effect of Coulomb forces between the charged particles of a plasma is the well-known Debye-Hückel-term. It is a negative contribution to the pressure and energy of the gas, that at high densities will overwhelm the ideal gas contributions and make the gas implode into a black hole. Nature obviously constrains this term, avoiding this fate, but how? We investigate three different mechanisms and their effects on the equation of state and on solar models, and the physical justifications for each of them. We conclude that higher order Coulomb terms in combination with quantum diffraction of electrons, provide the needed convergence.    ",タイトル：debye-hückel相互作用へのさまざまな変更状態の方程式,著者：Regner Trampedach、WernerDäppen
"
  [Submitted on 9 Dec 2024]",Title:Optimizing for a Near Single-Mode Type-0 Optical Parametric Amplifier in Nanophotonics,"Authors:Shivam Mundhra, Elina Sendonaris, Robert M. Gray, James Williams, Alireza Marandi","Abstract:Thin-film lithium niobate (TFLN) has recently emerged as a promising platform for integrated nonlinear photonics, enabling the use of optical parametric amplifiers (OPAs) for applications in quantum information processing, precision metrology, and ultrafast optical signal processing. However, OPA waveguide designs have not yet achieved the phase-matching conditions for type-0 operation in a single spectro-temporal mode, limiting their use. We optimize the waveguide dimensions, poling pattern, pump wavelength, and pump pulse duration for high spectral purity, a metric for single-mode fidelity. We numerically demonstrate a nanophotonic OPA with a spectral purity of 0.982 in a TFLN waveguide. Through semi-classical simulations, we further demonstrate that in the optical parametric regime, where vacuum fluctuations at the input of the OPA can saturate the gain and deplete the pump, the macroscopic output of such a single-mode OPA can be utilized for an ultra-fast quantum random number generator. These results demonstrate a promising direction for integrated OPAs in a wide range of ultrafast quantum nanophotonics applications.    ",タイトル：ナノフォトニクスのほぼシングルモードタイプ0光学パラメトリックアンプの最適化,著者：Shivam Mundhra、Elina Sendonaris、Robert M. Gray、James Williams、Alireza Marandi
"
  [Submitted on 9 Dec 2024]",Title:Searching for the classical analogue of Hawking radiation and screening of Coulomb field by the horizon,"Authors:S.A. Paston, D.S. Shatkov","Abstract:We investigate the possibility of the existence of a classical analogue of Hawking radiation -- solutions to classical field equations that consist solely of outgoing waves, in the spacetime of a collapsing black hole. The non-static nature of the corresponding metric results in the absence of energy conservation for matter, which could otherwise a priori prohibit such solutions. A specific and simple scenario is considered: a black hole formation as a result of the collapse of a thin shell, which is not necessarily dust-like. In the corresponding spacetime, we study solutions of the equations for a real massless scalar field that take the form of purely outgoing waves. In addition to the homogeneous equation, we also examine the case of a constant point source of the field located at the symmetry center. The general solution outside the shell is expressed in terms of the confluent Heun function, while the equations inside the shell and the matching conditions at its surface are formulated as an integral equation. The analysis of various solution asymptotics enables the reduction of the integral equation to a matrix equation, which is subsequently solved numerically.    ",タイトル：ホーキング放射線の古典的な類似体と地平線上のクーロンフィールドのスクリーニングの検索,著者：S.A。パストン、D.S。シャトコフ
"
  [Submitted on 9 Dec 2024]",Title:Scalar-tensor Baryogenesis,Authors:David S. Pereira,"Abstract:We propose a baryogenesis mechanism termed scalar-tensor baryogenesis, analogous to gravitational and spontaneous baryogenesis, driven by scalar fields arising from the scalar-tensor representation of modified gravity theories. This mechanism reproduces the original interaction term of gravitational baryogenesis and those commonly introduced in modified gravity contexts. We demonstrate the mechanism within $f(R,T)$ and $f(R)$ gravity frameworks, focusing on $f(R)$. We explore a quintessence potential given by $V(\phi) = \alpha \frac{\phi^{m+1}}{m+1}$ and a potential given $V(\phi) = \beta^{-\frac{1}{n-1}}(n-1)\left(\frac{\phi - 1}{n}\right)^{\frac{n}{n-1}}$ that corresponds in the geometric representation to models of the form $R + \beta R^n$. The model with $n=2$ presented the best behavior in generating an acceptable asymmetry during the radiation-dominated epoch. Inspired by this result, employing Planck data, we explored the Starobinsky inflation model obtaining successful baryogenesis during the inflationary epoch for both gravitational and scalar-tensor baryogenesis.    ",タイトル：スカラーテンソル虐待,著者：David S. Pereira
"
  [Submitted on 9 Dec 2024]",Title:Efficacious qubit mappings for quantum simulations of the $^{12}$C rotational band,"Authors:Darin C. Mumma, Zhonghao Sun, Alexis Mercenne, Kristina D. Launey, Soorya Rethinasamy, James A. Sauls","Abstract:Solving atomic nuclei from first principles places enormous demands on computational resources, which grow exponentially with increasing number of particles and the size of the space they occupy. We present first quantum simulations based on the variational quantum eigensolver for the low-lying structure of the $^{12}$C nucleus that provide acceptable bound-state energies even in the presence of noise. We achieve this by taking advantage of two critical developments. First, we utilize an almost perfect symmetry of atomic nuclei that, in a complete symmetry-adapted basis, drastically reduces the size of the model space. Second, we use the efficacious Gray encoding, for which it has been recently shown that it is resource efficient, especially when coupled with a near band-diagonal structure of the nuclear Hamiltonian.    ",タイトル：$^{12} $ c回転バンドの量子シミュレーション用の効果的なqubitマッピング,著者：ダリンC.ママ、Zhonghao Sun、Alexis Mercenne、Kristina D. Launey、Soorya Rethinasamy、James A. Sauls
"
  [Submitted on 9 Dec 2024]",Title:Implementing a Quantum Finite Automaton in IBMQ using Custom Control Pulses,"Authors:Eduardo Willwock Lussi, Lucas Cavalcante de Sousa, Jerusa Marchi, Rafael de Santiago, Eduardo Inacio Duzzioni","Abstract:Quantum finite automata can be used for pattern recognition. Present implementations on actual quantum devices face decoherence issues, which compromise the quality of long strings computation. In this work, we focus on the Measure Once 1-way Quantum Finite Automata (MO1QFA) model for addressing the MOD^p problem, investigating how quantum errors may affect the quality of the computation in this model when implemented in IBM-Q superconducting environment. To improve the performance of the implementation, we use pulse-level programming for calibrating a fast single-qubit gate designed specifically for the automaton implementation. The demonstrations conducted on the Jakarta quantum computer show that using custom pulses significantly reduces errors during extended word computations. While realizing improvements in error variations and predictability -- with a fourfold reduction in circuit latency -- the proposed solution demonstrates a substantial increase in the supported computation length of the automaton. When considering thresholds of 10% and 20% in absolute errors of acceptance probabilities, the solution has the potential to increase the maximum word length by 12 and 7+ times, respectively, compared to the default Qiskit gate.    ",タイトル：カスタムコントロールパルスを使用してIBMQに量子有限オートマトンを実装する,著者：エドゥアルド・ウィルウォック・ルッシ、ルーカス・キャバルカンテ・デ・スーザ、エルサ・マルティ、ラファエル・デ・サンティアゴ、エドゥアルド・イナシオ・ドゥッツィオーニ
"
  [Submitted on 9 Dec 2024]",Title:Do we owe our existence to a Gravitational Anomaly?,Authors:Nick E. Mavromatos,"Abstract:I review a mechanism for a potential explanation of the dominance of matter over antimatter in the Universe (``our existence''), based on a (3+1)-dimensional string-inspired cosmological model, characterised by (uncancelled) gravitational Chern-Simons (gCS) anomalies in the premordial epochs. The model is consistent with general covariance but entails spontaneous Lorentz (LV) and CPT Violation (CPTV), due to appropriate backgrounds of axion fields, which couple to the anomaly terms. Upon condensation of the gCS terms, due to primordial gravitational waves, these axions acquire a linear potential, which drives inflation of a Running-Vacuum-Model (RVM) type, while the effective action is also characterised by imaginary parts as well, which imply metastability of this RVM inflation. The axion backgrounds remain undiluted until the exit from inflation, and are responsible for yielding unconventional LV and CPTV Leptogenesis, which is then communicated to the baryon sector (Baryogenesis) via sphaleron processes. The model provides a phenomenologically consistent cosmological evolution from inflation till the modern era.    ",タイトル：私たちは自分の存在を重力の異常に借りていますか？,著者：ニックE.マブロマトス
