title,authors,abstract,authors_trans,sbstract_stans
"Authors:Takato Yoshimura, Lucas Sá",Title:Theory of Irreversibility in Quantum Many-Body Systems,"Abstract:We address the longstanding challenge in quantum statistical mechanics of reconciling unitary dynamics with irreversible relaxation. In classical chaos, the unitary evolution operator develops Ruelle-Pollicott (RP) resonances inside the unit circle in the continuum limit, leading to mixing. In contrast, the quantum theory of many-body RP resonances and their link to irreversibility remain underdeveloped. We relate the spectral form factor to the sum of autocorrelation functions and, in generic many-body systems without conservation laws, argue that all quantum RP resonances converge inside the unit disk. While we conjecture this picture to be general, we analytically prove the emergence of irreversibility in the random phase model (RPM), a paradigmatic Floquet quantum circuit model, in the limit of large local Hilbert space dimension. To this end, we couple it to local environments and compute the exact time evolution of autocorrelation functions, the dissipative form factor, and out-of-time-order correlation functions. Although valid for any dissipation strength, we then focus on weak dissipation to clarify the origin of irreversibility in unitary systems. When the dissipationless limit is taken after the thermodynamic limit, the unitary quantum map develops an infinite tower of RP resonances -- chaotic systems display so-called anomalous relaxation. We identify the exact RP resonances in the RPM and prove that the same RP resonances are obtained from operator truncation. We also show that the OTOC in the RPM can undergo a two-stage relaxation and that during the second stage, the approach to the stationary value is again controlled by the leading RP resonance. Finally, we demonstrate how conservation laws, many-body localization, and nonlocal interactions merge the leading RP resonance into the unit circle, thereby suppressing anomalous relaxation.    ",タイトル：量子多体システムにおける不可逆性の理論,要約：単一のダイナミクスを不可逆的な弛緩と調和させる量子統計力学における長年の課題に対処します。古典的なカオスでは、単一進化オペレーターは、連続体限界の単位円の内側にRuelle-Pollicott（RP）共鳴を発達させ、混合につながります。対照的に、多体RP共鳴の量子理論と不可逆性へのリンクは未発達のままです。スペクトルフォーム係数を自己相関関数の合計に関連付け、保全法のない一般的な多体システムでは、すべての量子RP共鳴がユニットディスク内に収束すると主張します。この写真を一般的であると推測しますが、大規模な局所的なヒルベルト空間寸法の限界で、パラダイムフロケット量子回路モデルであるランダムフェーズモデル（RPM）における不可逆性の出現を分析的に証明します。この目的のために、私たちはそれをローカル環境と結合し、自己相関関数、散逸型因子、および時間外の相関関数の正確な時間進化を計算します。散逸強度には有効ですが、単一のシステムにおける不可逆性の起源を明確にするために、弱い散逸に焦点を当てます。熱力学的制限の後に散逸制限が取られると、統一量子マップはRP共鳴の無限の塔を開発します - カオスシステムはいわゆる異常緩和を示します。RPMの正確なRP共鳴を特定し、同じRP共鳴がオペレーターの切り捨てから得られることを証明します。また、RPMのOTOCが2段階の弛緩を受ける可能性があり、第2段階では、定常価値へのアプローチが再び主要なRP共鳴によって制御されることを示しています。最後に、保全法、多体の局在化、および非ローカル相互作用が、主要なRP共鳴を単位円に融合し、それによって異常な弛緩を抑制する方法を示します。
"Authors:Alex E. Bernardini, Roldao da Rocha",Title:Algebraic solutions for $SU(2)\otimes SU(2)$ Hamiltonian eigensystems: generic statistical ensembles and a mesoscopic system application,"Abstract:Solutions of generic $SU(2)\otimes SU(2)$ Hamiltonian eigensystems are obtained through systematic manipulations of quartic polynomial equations. An {\em ansatz} for constructing separable and entangled eigenstate basis, depending on the quartic equation coefficients, is proposed. Besides the quantum concurrence for pure entangled states, the associated thermodynamic statistical ensembles, their partition function, quantum purity and quantum concurrence are shown to be straightforwardly obtained. Results are specialized to a $SU(2)\otimes SU(2)$ structure emulated by lattice-layer degrees of freedom of the Bernal stacked graphene, in a context that can be extended to several mesoscopic scale systems for which the onset from $SU(2)\otimes SU(2)$ Hamiltonians has been assumed.    ",タイトル：$ su（2）\ otimes su（2）$ hamiltonian Eigensystemsの代数ソリューション：ジェネリック統計的アンサンブルとメソスコピックシステムアプリケーション,要約：ジェネリック$ su（2）\ otimes su（2）$ hamiltonian egensystemsのソリューションは、四分位多項式方程式の体系的な操作を通じて取得されます。クエリック方程式係数に応じて、分離可能で絡み合った固有状の基底を構築するための{\ em ansatz}が提案されています。純粋な絡み合った状態、関連する熱力学的統計アンサンブル、それらの分割関数、量子純度、量子の同意が簡単に得られることが示されていることがわかります。結果は、$ su（2）\ otimes su（2）$ $構造に特化しています。格子層の自由度によってエミュレートされたベルナル積み重ねられたグラフェンの自由度によって、$ $からの開始が$メソスピックスケールシステムに拡張できるコンテキストでsu（2）\ otimes su（2）$ハミルトニアンが想定されています。
"Authors:Luke Coffman, Graeme Smith, Xun Gao","Title:Measuring Non-Gaussian Magic in Fermions: Convolution, Entropy, and the Violation of Wick's Theorem and the Matchgate Identity","Abstract:Classically hard to simulate quantum states, or ""magic states"", are prerequisites to quantum advantage, highlighting an apparent separation between classically and quantumly tractable problems. Classically simulable states such as Clifford circuits on stabilizer states, free bosonic states, free fermions, and matchgate circuits are all in some sense Gaussian. While free bosons and fermions arise from quadratic Hamiltonians, recent works have demonstrated that bosonic and qudit systems converge to Gaussians and stabilizers under convolution. In this work, we similarly identify convolution for fermions and find efficient measures of non-Gaussian magic in pure fermionic states. We demonstrate that three natural notions for the Gaussification of a state, (1) the Gaussian state with the same covariance matrix, (2) the fixed point of convolution, and (3) the closest Gaussian in relative entropy, coincide by proving a central limit theorem for fermionic systems. We then utilize the violation of Wick's theorem and the matchgate identity to quantify non-Gaussian magic in addition to a SWAP test.    ",タイトル：フェルミオンの非ガウス魔法の測定：畳み込み、エントロピー、ウィックの定理とマッチゲートのアイデンティティの違反,要約：量子状態または「魔法状態」をシミュレートするのは古典的には、量子優位性の前提条件であり、古典的と量的扱いやすい問題の間の明らかな分離を強調しています。安定剤状態のクリフォード回路、自由なボソン状態、自由フェルミオン、マッチゲート回路などの古典的にシミュレートできる状態はすべて、ある意味ではガウスです。無料のボソンとフェルミオンは二次ハミルトニアンから発生しますが、最近の作品は、ボソンとQuditシステムが畳み込み下でガウスと安定剤に収束することを実証しています。この作業では、フェルミオンの畳み込みを同様に特定し、純粋なフェルミオン状態における非ガウス魔法の効率的な尺度を見つけます。状態のga統合に関する3つの自然な概念、（1）同じ共分散マトリックスを持つガウス国家、（2）畳み込みの固定点、および（3）中心を証明することにより、相対エントロピーで最も近いガウスが一致することを実証します。フェルミオンシステムの定理を制限します。次に、スワップテストに加えて、ウィックの定理とマッチゲートのアイデンティティの違反を利用して、ガウス以外の魔法を定量化します。
"Authors:Antoine Brillant, Peter Groszkowski, Alireza Seif, Jens Koch, Aashish Clerk",Title:Randomized benchmarking with non-Markovian noise and realistic finite-time gates,"Abstract:We analyze the impact of non-Markovian classical noise on single-qubit randomized benchmarking experiments, in a manner that explicitly models the realization of each gate via realistic finite-duration pulses. Our new framework exploits the random nature of each gate sequence to derive expressions for the full survival probability decay curve which are non-perturbative in the noise strength. In the presence of non-Markovian noise, our approach shows that the decay curve can exhibit a strong dependence on the implementation method, with regimes of both exponential and power law decays. We discuss how these effects can complicate the interpretation of a randomized-benchmarking experiment, but also how to leverage them to probe non-Markovianty.    ",タイトル：非マルコビアンノイズと現実的な有限時間ゲートでランダム化されたベンチマーク,要約：現実的な有限期間パルスを介して各ゲートの実現を明示的にモデル化する方法で、単一のランダム化されたベンチマーク実験に対する非マルコビアンの古典的なノイズの影響を分析します。私たちの新しいフレームワークは、各ゲートシーケンスのランダムな性質を活用して、ノイズ強度では摂動しない完全な生存確率崩壊曲線の式を導出します。非マルコビアンノイズの存在下で、私たちのアプローチは、崩壊曲線が実装方法に強い依存を示すことができることを示しています。これらの効果が、ランダム化ベンチマーク実験の解釈をどのように複雑にするかについて説明しますが、それらを活用して非マルコビアンティをプローブする方法についても説明します。
"Authors:Athena Caesura, Christian L. Cortes, William Poll, Sukin Sim, Mark Steudtner, Gian-Luca R. Anselmetti, Matthias Degroote, Nikolaj Moll, Raffaele Santagati, Michael Streif, Christofer S. Tautermann",Title:Faster quantum chemistry simulations on a quantum computer with improved tensor factorization and active volume compilation,"Abstract:Electronic structure calculations of molecular systems are among the most promising applications for fault-tolerant quantum computing (FTQC) in quantum chemistry and drug design. However, while recent algorithmic advancements such as qubitization and Tensor Hypercontraction (THC) have significantly reduced the complexity of such calculations, they do not yet achieve computational runtimes short enough to be practical for industrially relevant use cases. In this work, we introduce several advances to electronic structure calculation for molecular systems, resulting in a two-orders-of-magnitude speedup of estimated runtimes over prior-art algorithms run on comparable quantum devices. One of these advances is a novel framework for block-invariant symmetry-shifted Tensor Hypercontraction (BLISS-THC), with which we achieve the tightest Hamiltonian factorizations reported to date. We compile our algorithm for an Active Volume (AV) architecture, a technical layout that has recently been proposed for fusion-based photonic quantum hardware. AV compilation contributes towards a lower runtime of our computation by eliminating overheads stemming from connectivity issues in the underlying surface code. We present a detailed benchmark of our approach, focusing primarily on the computationally challenging benchmark molecule P450. Leveraging a number of hardware tradeoffs in interleaving-based photonic FTQC, we estimate runtimes for the electronic structure calculation of P450 as a function of the device footprint.    ",タイトル：テンソル因数分解とアクティブなボリューム編集を改善した量子コンピューターの量子化学シミュレーションの高速,要約：分子システムの電子構造計算は、量子化学および薬物設計における断層耐性量子コンピューティング（FTQC）の最も有望なアプリケーションの1つです。ただし、キビビット化やテンソルハイパーコントラクション（THC）などの最近のアルゴリズムの進歩により、このような計算の複雑さが大幅に減少しましたが、工業的に関連するユースケースに実用的であるほど短い計算ランタイムをまだ達成していません。この作業では、分子系の電子構造計算にいくつかの進歩を導入し、同等の量子デバイスで実行される前のARTアルゴリズムにわたって推定されたランタイムの2つの倍率の速度を2つ拡大します。これらの進歩の1つは、これまでに報告された最も厳しいハミルトン因子化を達成するために、ブロック不変の対称シフトテンソルハイパーコンテスト（Bliss-THC）の新しいフレームワークです。アクティブボリューム（AV）アーキテクチャのアルゴリズムをコンパイルします。これは、融合ベースのフォトニック量子ハードウェア用に最近提案された技術レイアウトです。AVコンピレーションは、基礎となる表面コードの接続性の問題に起因するオーバーヘッドを排除することにより、計算のランタイムの低下に貢献します。主に計算的に挑戦的なベンチマーク分子P450に焦点を当てたアプローチの詳細なベンチマークを提示します。インターリービングベースのフォトニックFTQCにおける多くのハードウェアトレードオフを活用すると、デバイスフットプリントの関数としてP450の電子構造計算の範囲を推定します。
"Authors:Mark IJspeert, Naomi Holland, Benjamin Yuen, Axel Kuhn",Title:Supercharging Single-Atom Traps by Collisional Blockade,"Abstract:Reconfigurable arrays of trapped single atoms are an excellent platform for the simulation of many-body physics and the realisation of high-fidelity quantum gates. The confinement of atoms is often achieved with focussed laser beams acting as optical dipole-force traps that allow for both static and dynamic positioning of atoms. In these traps, light-assisted collisions -- enhancing the two-atom loss rate -- ensure that single atom occupation of traps can be realised. However, the time-averaged probability of trapping a single atom is limited to $0.5$ when loading directly from a surrounding cloud of laser-cooled atoms, preventing deterministic filling of large arrays. In this work, we demonstrate that increasing the depth of a static, optical dipole trap enables the transition from fast loading on a timescale of $2.1\,$s to an extended trap lifetime of $7.9\,$s. This method demonstrates an achievable filling ratio of $(79\pm2)\,\%$ without the need of rearranging atoms to fill vacant traps.    ",タイトル：衝突遮断による単一原子トラップのスーパーチャージング,要約：閉じ込められた単一原子の再構成可能な配列は、多体物理学のシミュレーションと高忠実度の量子ゲートの実現に優れたプラットフォームです。原子の閉じ込めは、原子の静的および動的な位置の両方を可能にする光双極子筋トラップとして機能するフォーカスレーザービームでしばしば達成されます。これらのtrapでは、2原子の損失率を高める光支援衝突 - トラップの単一原子占有が実現できるようにします。ただし、単一の原子をトラップする時間平均確率は、レーザー冷却された原子の周囲の雲から直接負荷をかけると0.5ドルに制限され、大きなアレイの決定論的充填を防ぎます。この作業では、静的な光双極子トラップの深さを増やすと、2.1 \、$ sのタイムスケールの高速荷重から$ 7.9 \、$ sの延長トラップ寿命への移行が可能になることを実証します。この方法は、空いているトラップを埋めるために再配置する原子を必要とせずに、$（79 \ PM2）\、\％$の達成可能な充填比を示しています。
"Authors:Daniel Burrow, Jesus C. Toscano-Figueroa, Victor H. Guarochico-Moreira, Khalid Omari, Irina V. Grigorieva, Thomas Thomson, Ivan J. Vera-Marun",Title:Spin polarised quantised transport via one-dimensional nanowire-graphene contacts,"Abstract:Graphene spintronics offers a promising route to achieve low power 2D electronics for next generation classical and quantum computation. As device length scales are reduced to the limit of the electron mean free path, the transport mechanism crosses over to the ballistic regime. However, ballistic transport has yet to be shown in a graphene spintronic device, a necessary step towards realising ballistic spintronics. Here, we report ballistic injection of spin polarised carriers via one-dimensional contacts between magnetic nanowires and a high mobility graphene channel. The nanowire-graphene interface defines an effective constriction that confines charge carriers over a length scale smaller than that of their mean free path. This is evidenced by the observation of quantised conductance through the contacts with no applied magnetic field and a transition into the quantum Hall regime with increasing field strength. These effects occur in the absence of any constriction in the graphene itself and occur across several devices with transmission probability in the range T = 0.08 - 0.30.    ",タイトル：1次元ナノワイア - グラフェン接触を介したスピン偏光量子化された輸送,要約：Graphene Spintronicsは、次世代のクラシックおよび量子計算のために低電力2Dエレクトロニクスを達成するための有望なルートを提供します。デバイスの長さのスケールが電子平均自由経路の限界まで縮小されると、輸送メカニズムは弾道体制に渡ります。ただし、弾道輸送はグラフェンスピトロニックデバイスにまだ表示されていません。これは、弾道スピントロニクスの実現に必要なステップです。ここでは、磁気ナノワイヤと高移動性グラフェンチャネルの間の1次元接触を介して、スピン偏光キャリアの弾道注入を報告します。Nanowire-Grapheneインターフェイスは、電荷キャリアを平均自由パスのそれよりも小さい長さのスケールに限定する効果的な収縮を定義します。これは、適用された磁場のない接触を介した量子化されたコンダクタンスの観察と、フィールド強度が増加する量子ホール体制への移行によって証明されます。これらの効果は、グラフェン自体に収縮がない場合に発生し、範囲t = 0.08-0.30の伝送確率を持ついくつかのデバイスで発生します。
"Authors:Gerd Kortemeyer, Marina Babayeva, Giulia Polverini, Bor Gregorcic, Ralf Widenhorn",Title:Multilingual Performance of a Multimodal Artificial Intelligence System on Multisubject Physics Concept Inventories,"Abstract:We investigate the multilingual and multimodal performance of a large language model-based artificial intelligence (AI) system, GPT-4o, on a diverse set of physics concept inventories spanning multiple languages and subject areas. The inventories taken from the PhysPort website cover the classical physics topics of mechanics, electromagnetism, optics, and thermodynamics as well as relativity, quantum mechanics, astronomy, mathematics, and laboratory skills. Unlike previous text-only studies, we uploaded the inventories as images mirroring what a student would see on paper, assessing the system's multimodal functionality. The AI is prompted in English and autonomously chooses the language of its response - either remaining in the nominal language of the test, switching entirely to English, or mixing languages - revealing adaptive behavior dependent on linguistic complexity and data availability. Our results indicate some variation in performance across subject areas, with laboratory skills standing out as the area of poorest performance. Furthermore, the AI's performance on questions that require visual interpretation of images is worse than on purely text-based questions. Questions that are difficult for the AI tend to be that way invariably of the inventory language. We also find large variations in performance across languages, with some appearing to benefit substantially from language switching, a phenomenon similar to code-switching ofhuman speakers. Overall, comparing the obtained AI results to the existing literature, we find that the AI system outperforms average undergraduate students post-instruction in all subject areas but laboratory skills.    ",タイトル：マルチヘブジェクト物理学コンセプトインベントリに関するマルチモーダル人工知能システムの多言語パフォーマンス,要約：複数の言語と主題領域にまたがる物理学コンセプトインベントリの多様なセットで、大規模な言語モデルベースの人工知能（AI）システムGPT-4Oの多言語およびマルチモーダルパフォーマンスを調査します。PhysportのWebサイトから取得したインベントリは、メカニック、電磁気、光学、熱力学、および相対性理論、量子力学、天文学、数学、および実験室スキルの古典物理学のトピックをカバーしています。以前のテキストのみの研究とは異なり、システムのマルチモーダル機能を評価して、学生が紙に表示するものを反映した画像としてインベントリをアップロードしました。AIは英語で促され、その応答の言語を自律的に選択します - テストの名目言語にとどまる、完全に英語に切り替える、または言語の混合 - 言語の複雑さとデータの可用性に依存する適応行動を明らかにします。私たちの結果は、主題分野でのパフォーマンスの変動を示しており、実験室のスキルが最も低い領域として際立っています。さらに、画像の視覚的解釈を必要とする質問に対するAIのパフォーマンスは、純粋にテキストベースの質問よりも悪いです。AIにとって困難な質問は、常に在庫言語のそのようにする傾向があります。また、言語間でのパフォーマンスに大きなばらつきがあり、人間のスピーカーのコードスイッチングと同様の現象である言語の切り替えから大幅に利益を得ているように見えるものもあります。全体として、得られたAIの結果を既存の文献と比較すると、AIシステムは、実験室のスキル以外のすべての主題分野での導入後の平均学部生を上回ることがわかります。
"Authors:R. L. Rincón Celis, G. Nirala, A. Montaña Guerrero, T. L. Meireles, M. Martinelli, A. M. Marino, H. M. Florez",Title:Hidden entanglement in twin beams generated through optical parametric amplification in hot alkali atoms,"Abstract:Proper characterization of quantum correlations in a multimode optical state is critical for applications in quantum information science; however, the most common entanglement measurements can lead to an incomplete state reconstruction. This is the case for the ubiquitous spectral measurement of field quadratures for which a full characterization of the quantum correlations between optical beams is not possible. We demonstrate this effect in twin beams generated through parametric amplification by four-wave mixing in hot rubidium vapor, showing the role of a frequency dependent gain response. We implement a resonator-based measurement that reveals entanglement between beams that is otherwise hidden by usual spectral measurements. Additionally, this system shows how the phase shifts between the carrier and the sidebands on the involved fields affect the observation of entanglement for different entanglement witnesses, demonstrating the relevance of making a complete state tomography.    ",タイトル：熱いアルカリ原子の光学パラメトリック増幅によって生成されたツインビームの隠れた絡み合い,要約：マルチモード光学状態における量子相関の適切な特性評価は、量子情報科学のアプリケーションにとって重要です。ただし、最も一般的なエンタングルメント測定は、不完全な状態再建につながる可能性があります。これは、光ビーム間の量子相関の完全な特性評価が不可能なフィールド象限のユビキタススペクトル測定の場合です。熱いルビジウム蒸気での4波混合によるパラメトリック増幅によって生成されたツインビームでこの効果を示し、周波数依存性ゲイン応答の役割を示しています。通常のスペクトル測定によって隠されている梁間の絡み合いを明らかにする共振器ベースの測定を実装します。さらに、このシステムは、関連するフィールドのキャリアとサイドバンドの間の位相がどのようにシフトするかを示しています。
"Authors:Omar Nagib, Thad G. Walker",Title:Exact steady state of perturbed open quantum systems,"Abstract:We present a general non-perturbative method to determine the exact perturbed steady state of open quantum systems, in terms of the eigenmodes of the unperturbed system. The perturbation may be time-independent or periodic, and of arbitrarily large amplitude. Using a generalized inverse and two diagonalizations, we construct an operator that generates the entire dependence of the steady state on the perturbation parameter. The approach also enables exact analytic operations-such as differentiation, integration, and ensemble averaging-with respect to the parameter, even when the steady state is computed numerically. We apply the method to three non-trivial open quantum systems, showing that it achieves exact results, with a computational speedup for calculations requiring large sampling, such as ensemble averaging, compared to sampling-based approaches.    ",タイトル：摂動したオープン量子システムの正確な定常状態,要約：未摂取システムの固有モードの観点から、オープン量子システムの正確な摂動定常状態を決定するための一般的な非摂動方法を提示します。摂動は、時間に依存しないまたは周期的であり、任意に大きな振幅である可能性があります。一般化された逆と2つの対角線を使用して、摂動パラメーターに対する定常状態の依存性全体を生成する演算子を構築します。また、このアプローチは、定常状態が数値的に計算されている場合でも、パラメーターの尊重との平均化との分化、統合、およびアンサンブルなど、正確な分析操作などを可能にします。この方法を3つの非自明のオープン量子システムに適用し、サンプリングベースのアプローチと比較して、アンサンブル平均化などの大規模なサンプリングを必要とする計算の計算スピードアップを使用して、正確な結果を達成することを示します。
