authors,title,abstract,authors_trans,abstract_trans
"Christopher A. Leong, Bitan Roy",Non-Hermitian catalysis of density-wave orders on Euclidean and hyperbolic lattices,"Depending on the lattice geometry, the nearest-neighbor (NN) tight-binding model for free fermions gives rise to particle-hole symmetric emergent Dirac liquid, Fermi liquid, and flat bands near the half-filling or zero-energy on bipartite Euclidean and hyperbolic lattices, respectively embedded on the flat and negatively curved spaces. Such noninteracting electronic fluids are characterized by a vanishing, a finite, and a diverging density of states near half-filling, respectively. A non-Hermitian generalization of this scenario resulting from an imbalance of the hopping amplitudes in the opposite directions between any pair of NN sites continues to accommodate a real eigenvalue spectrum over an extended non-Hermitian parameter regime. Most importantly, it reduces the band width without altering the characteristic scaling of the density of states close to the zero-energy. Here, we show that on two-dimensional bipartite Euclidean and hyperbolic lattices such a non-Hermiticity catalyzes the formation of both charge-density-wave and spin-density-wave orders at weaker (in comparison to the counterparts in conventional or Hermitian systems) NN Coulomb and on-site Hubbard repulsions, respectively. These two ordered states correspond to staggered patterns of average electronic density and spin between the NN sites, respectively, and both cause insulation in half-filled systems. We arrive at these conclusions by combining biorthogonal quantum mechanics and lattice-based self-consistent numerical mean-field analysis in the Hartree channel. We discuss the scaling of the associated mass gaps near the zero-energy with the non-Hermitian parameter, and also address the finite size scaling of the order parameters specifically on hyperbolic lattices with open boundary conditions. A robust general mathematical criterion for the proposed non-Hermitian catalysis mechanism for ordered phases is showcased.",ユークリッドおよび双曲線格子に対する密度波順序の非ヘルミティア触媒,格子形状に応じて、遊離フェルミオンの最近傍（NN）タイトバインディングモデルは、粒子穴の緊急ディラック液、フェルミ液、および平らなバンドを生み出します。それぞれ平らで負の湾曲した空間に埋め込まれた双曲線格子。このような絡み合っていない電子液は、それぞれ半分充填に近い状態の消失、有限、および分岐密度によって特徴付けられます。 NNサイトの任意のペア間の反対方向のホッピング振幅の不均衡に起因するこのシナリオの非ヘルミティアの一般化は、拡張された非ヘルミティアのパラメーターレジーム上の実際の固有値スペクトルに対応し続けています。最も重要なことは、ゼロエネルギーに近い状態の密度の特徴的なスケーリングを変更することなく、バンド幅を減らすことです。ここでは、2次元の二部ユークリッドと双曲線格子では、そのような非妊娠性格子が、より弱い場合の電荷密度波とスピン密度波の両方の順序の形成を触媒していることを示しています（従来のシステムまたはハーミットシステムのカウンターパートと比較して）それぞれNNクーロンとオンサイトのハバード反発。これらの2つの秩序化状態は、それぞれNNサイト間の平均電子密度とスピンのずらしたパターンに対応しており、どちらも中途半端なシステムで断熱を引き起こします。 HartreeチャネルでのBiorthogonal量子力学と格子ベースの自己整合性数値平均フィールド分析を組み合わせて、これらの結論に到達します。非ヘルミティアパラメーターを使用したゼロエネルギーの近くの関連する質量ギャップのスケーリングについて説明し、開いた境界条件を備えた双曲線格子上の注文パラメーターの有限サイズのスケーリングについても説明します。秩序化された相の提案されている非ヘルミティア触媒メカニズムの堅牢な一般的な数学的基準が紹介されます。
"Nathan L. Foulk, Silas Hoffman, Katharina Laubscher, Sankar Das Sarma",Singlet-only Always-on Gapless Exchange Qubits with Baseband Control,"We propose a singlet-only always-on gapless exchange (SAGE) spin qubit that encodes a single qubit in the spins of four electrons while allowing universal baseband control. While conventional exchange-only qubits suffer from magnetic-field-gradient-induced leakage and coherent errors, for instance due to local nuclear environments and variations in the $g$-factor, the SAGE qubit subspace is protected from coherent errors due to local magnetic field gradients and leakage out of the computational subspace is energetically suppressed due to the exchange interactions between electrons being always-on. Consequently, we find that when magnetic gradient noise dominates over charge noise, coherence times and single-qubit gate infidelities of the SAGE qubit improve by an order of magnitude compared to conventional exchange-only qubits. Moreover, using realistic parameters, two-qubit gates can be performed with a single interqubit exchange pulse with times comparable in duration to conventional exchange-only qubits but with a significantly simplified pulse sequence.",ベースバンドコントロールを備えたシングレットのみの常にギャップレス交換Qubits,ユニバーサルベースバンド制御を可能にしながら、4つの電子のスピンに単一のキットをコードするシングレットのみの常にオンなギャップレス交換（SAGE）スピンQubitを提案します。従来の交換のみのQubitsは、磁場勾配誘発性の漏れやコヒーレントエラーに悩まされていますが、たとえば、$ g $因子の局所的な核環境や変動によるものですが、Sage Qubit Subspaceは、局所磁気によるコヒーレントエラーから保護されています。電子間の交換相互作用が常に存在するため、計算サブスペースからのフィールド勾配と漏れはエネルギー的に抑制されます。したがって、磁気勾配ノイズが電荷ノイズを支配すると、サージのQubitの一貫性と単一のQubitゲートの不忠実さが、従来の交換のみのキュービットと比較して数桁改善することがわかります。さらに、現実的なパラメーターを使用して、従来の交換のみのキュービットに匹敵する時間と同等の時間とともに、大幅に単純化されたパルスシーケンスを備えた、単一のquビット間交換パルスで2キットのゲートを実行できます。
"Cesare Tronci, David Martínez-Crespo, François Gay-Balmaz",Entropy functionals and equilibrium states in mixed quantum-classical dynamics,"The computational challenges posed by many-particle quantum systems are often overcome by mixed quantum-classical (MQC) models in which certain degrees of freedom are treated as classical while others are retained as quantum. One of the fundamental questions raised by this hybrid picture involves the characterization of the information associated to MQC systems. Based on the theory of dynamical invariants in Hamiltonian systems, here we propose a family of hybrid entropy functionals that consistently specialize to the usual Rényi and Shannon entropies. Upon considering the MQC Ehrenfest model for the dynamics of quantum and classical probabilities, we apply the hybrid Shannon entropy to characterize equilibrium configurations for simple Hamiltonians. The present construction also applies beyond Ehrenfest dynamics.",混合量子学的ダイナミクスにおけるエントロピー機能と平衡状態,多くの粒子量子システムによってもたらされる計算上の課題は、特定の自由度が古典的なものとして扱われ、他のものは量子として保持される混合量子クラシック（MQC）モデルによって克服されることがよくあります。このハイブリッド画像によって提起された基本的な質問の1つは、MQCシステムに関連付けられた情報の特性評価です。ハミルトニアンシステムの動的不変剤の理論に基づいて、ここでは、通常のレニとシャノンのエントロピーに一貫して特化したハイブリッドエントロピー機能のファミリーを提案します。量子および古典的確率のダイナミクスについてMQC EhrenFestモデルを検討すると、ハイブリッドシャノンエントロピーを適用して、単純なハミルトニアンの平衡構成を特徴付けます。現在の構造は、Ehrenfestダイナミクスを超えて適用されます。
"S. Rostami, M. Malekhosseini, M. Rahavi Ezabadi, K. Azizi",CGAN-Based Framework for Meson Mass and Width Prediction,"Generative Adversarial Networks (GANs) are influential machine learning models that have gained prominence across various research fields, including high-energy physics (HEP) simulations. Among them, Conditional GANs (CGANs) offer a unique advantage by conditioning on specific parameters, making them particularly well-suited for meson studies. Given the limited size of the available meson dataset$ - $based on the quark content, quantum numbers, mass, and width$ - $this study, for the first time, applies the CGAN framework to augment the dataset of mesons, while preserving the inherent characteristics of the original data. Using this enhanced dataset, we employ the CGAN model to estimate the mass and width of both ordinary and exotic mesons, based solely on their quark content and quantum numbers. Our CGAN$ - $based predictions highlight the framework's potential as a reliable tool for meson property estimation, providing valuable insights for future research in particle physics.",メソン質量と幅予測のためのCGANベースのフレームワーク,生成的敵対ネットワーク（GAN）は、高エネルギー物理学（HEP）シミュレーションを含むさまざまな研究分野で顕著になった影響力のある機械学習モデルです。その中で、条件付きGAN（CGAN）は、特定のパラメーターを条件付けすることで独自の利点を提供し、メソン研究に特に適しています。クォークコンテンツ、量子数、質量、および幅に基づいて利用可能なメソンデータセット$ -$のサイズが限られていることを考えると、この調査は初めて、メソンのデータセットを拡張しながらCGANフレームワークを適用し、元のデータの固有の特性。この拡張されたデータセットを使用して、CGANモデルを使用して、クォークコンテンツと量子数のみに基づいて、通常のメソンとエキゾチックなメソンの両方の質量と幅を推定します。私たちのCGAN $  -  $ベースの予測は、メソンプロパティ推定のための信頼できるツールとしてのフレームワークの可能性を強調しており、粒子物理学における将来の研究のための貴重な洞察を提供します。
A. Zabrodin,Classical facets of quantum integrability,"This paper is a review of the works devoted to understanding and reinterpretation of the theory of quantum integrable models solvable by Bethe ansatz in terms of the theory of purely classical soliton equations. Remarkably, studying polynomial solutions of the latter by methods of the classical soliton theory, one is able to develop a method to solve the spectral problem for the former which is alternative to the Bethe ansatz procedure. Our main examples are the generalized inhomogeneous spins chains with twisted boundary conditions from the quantum side and the modified Kadomtsev-Petviashvili hierarchy of nonlinear differential-difference equations from the classical side. In this paper, we restrict ourselves by quantum spin chains with rational $GL(n)$-invariant $R$-matrices (of the XXX type). Also, the connection of quantum spin chains with classical soliton equations implies a close interrelation between the spectral problem for spin chains and integrable many-body systems of classical mechanics such as Calogero-Moser and Ruijsenaars-Scheider models, which is known as the quantum-classical duality. Revisiting this topic, we suggest a simpler and more instructive proof of this kind of duality.",量子積分性の古典的なファセット,この論文は、純粋に古典的なソリトン方程式の理論に関して、Bethe Ansatzが解く可能性のある量子積分モデルの理論の理解と再解釈に専念する作品のレビューです。驚くべきことに、古典的なソリトン理論の方法で後者の多項式溶液を研究することで、Bethe Ansatz手順に代わる前者のスペクトル問題を解決する方法を開発することができます。私たちの主な例は、量子側からのねじれた境界条件を備えた一般化された不均一なスピンチェーンと、古典的側面からの非線形差差方程式の修正されたKadomtsev-Petviashvili階層です。この論文では、合理的な$ gl（n）$ -invariant $ r $ -matrices（xxx型）を持つ量子スピンチェーンによって自分自身を制限します。また、量子スピンチェーンと古典的なソリトン方程式との接続は、スピンチェーンのスペクトル問題と、カロゲロモーザーやルイセナールスシェイダーモデルなどの古典的なメカニズムの統合可能な多体システムとの間の密接な相互関係を意味します。これは量子として知られています。古典的な二重性。このトピックを再検討すると、この種の二重性のよりシンプルでより有益な証拠を提案します。
"Simon J. Evered, Marcin Kalinowski, Alexandra A. Geim, Tom Manovitz, Dolev Bluvstein, Sophie H. Li, Nishad Maskara, Hengyun Zhou, Sepehr Ebadi, Muqing Xu, Joseph Campo, Madelyn Cain, Stefan Ostermann, Susanne F. Yelin, Subir Sachdev, Markus Greiner, Vladan Vuletić, Mikhail D. Lukin",Probing topological matter and fermion dynamics on a neutral-atom quantum computer,"Quantum simulations of many-body systems are among the most promising applications of quantum computers. In particular, models based on strongly-correlated fermions are central to our understanding of quantum chemistry and materials problems, and can lead to exotic, topological phases of matter. However, due to the non-local nature of fermions, such models are challenging to simulate with qubit devices. Here we realize a digital quantum simulation architecture for two-dimensional fermionic systems based on reconfigurable atom arrays. We utilize a fermion-to-qubit mapping based on Kitaev's model on a honeycomb lattice, in which fermionic statistics are encoded using long-range entangled states. We prepare these states efficiently using measurement and feedforward, realize subsequent fermionic evolution through Floquet engineering with tunable entangling gates interspersed with atom rearrangement, and improve results with built-in error detection. Leveraging this fermion description of the Kitaev spin model, we efficiently prepare topological states across its complex phase diagram and verify the non-Abelian spin liquid phase by evaluating an odd Chern number. We further explore this two-dimensional fermion system by realizing tunable dynamics and directly probing fermion exchange statistics. Finally, we simulate strong interactions and study dynamics of the Fermi-Hubbard model on a square lattice. These results pave the way for digital quantum simulations of complex fermionic systems for materials science, chemistry, and high-energy physics.",ニュートラルアトム量子コンピューターのトポロジーマターとフェルミオンダイナミクスを調査する,多体システムの量子シミュレーションは、量子コンピューターの最も有望なアプリケーションの1つです。特に、強く相関したフェルミオンに基づくモデルは、量子化学と材料の問題の理解の中心であり、物質のエキゾチックなトポロジー段階につながる可能性があります。ただし、フェルミオンの非局所性のため、このようなモデルは、キュービットデバイスでシミュレートするのが困難です。ここでは、再構成可能な原子アレイに基づいた2次元フェルミオンシステムのデジタル量子シミュレーションアーキテクチャを実現します。ハニカム格子上のキタエフのモデルに基づいて、フェルミオン間マッピングを利用します。このマッピングでは、長距離の絡み合った状態を使用してフェルミオン統計がエンコードされています。これらの状態は、測定とフィードフォワードを使用して効率的に準備し、アトム再配置が散在する調整可能な絡み合いゲートを使用して、フロケエンジニアリングを通じてその後のフェルミオン進化を実現し、エラー検出が組み込まれた結果を改善します。キタエフスピンモデルのこのフェルミオンの説明を活用して、トポロジー状態をその複雑な位相図に効率的に調製し、奇数のチェーン数を評価することにより、非アベルスピン液相を検証します。さらに、調整可能なダイナミクスを実現し、フェルミオン交換統計を直接調査することにより、この2次元フェルミオンシステムをさらに探索します。最後に、四角い格子上のフェルミ・ハバードモデルの強力な相互作用をシミュレートし、ダイナミクスを研究します。これらの結果は、材料科学、化学、および高エネルギー物理学のための複雑なフェルミオンシステムのデジタル量子シミュレーションへの道を開きます。
"Zherui Jerry Wang, David Dechant, Yash J. Patel, Jordi Tura",Mitigating shot noise in local overlapping quantum tomography with semidefinite programming,"Reduced density matrices (RDMs) are fundamental in quantum information processing, allowing the computation of local observables, such as energy and correlation functions, without the exponential complexity of fully characterizing quantum states. In the context of near-term quantum computing, RDMs provide sufficient information to effectively design variational quantum algorithms. However, their experimental estimation is challenging, as it involves preparing and measuring quantum states in multiple bases - a resource-intensive process susceptible to producing non-physical RDMs due to shot noise from limited measurements. To address this, we propose a method to mitigate shot noise by re-enforcing certain physicality constraints on RDMs. While verifying RDM compatibility with a global state is QMA-complete, we relax this condition by enforcing compatibility constraints up to a certain level using a polynomial-size semidefinite program to reconstruct overlapping RDMs from simulated experimental data. Our approach yields, on average, tighter bounds for the same number of measurements compared to tomography without compatibility constraints. We demonstrate the versatility and efficacy of our method by integrating it into an algorithmic cooling procedure to prepare low-energy states of local Hamiltonians. Simulations on frustrated Hamiltonians reveal notable improvements in accuracy and resource efficiency, highlighting the potential of our approach for practical applications in near-term quantum computing.",局所的な重複量子トモグラフィーでのショットノイズを緩和して、セミディナイトプログラミングを使用して,密度密度マトリックス（RDMS）は量子情報処理の基本であり、エネルギーや相関関数などのローカルな観測可能性の計算を可能にします。短期量子コンピューティングのコンテキストでは、RDMは変分量子アルゴリズムを効果的に設計するのに十分な情報を提供します。ただし、それらの実験的推定は、複数のベースで量子状態を準備および測定することを含むため、困難です。これは、限られた測定からのショットノイズのために非物理的なRDMを生成しやすいリソース集約的なプロセスです。これに対処するために、RDMSの特定の身体性の制約を再強化することにより、ショットノイズを緩和する方法を提案します。グローバル状態とのRDMの互換性を検証することはQMAコンプリートですが、多項式サイズのセミデフィナイトプログラムを使用して、シミュレートされた実験データからの重複RDMを再構築することにより、互換性の制約を特定のレベルまで強制することにより、この状態を緩和します。私たちのアプローチは、互換性の制約のない断層撮影と比較して、平均して同じ測定数の境界をより厳しくします。局所ハミルトニアンの低エネルギー状態を調製するためのアルゴリズム冷却手順に統合することにより、方法の汎用性と有効性を実証します。欲求不満のハミルトニアンのシミュレーションにより、精度とリソース効率の顕著な改善が明らかになり、短期量子コンピューティングにおける実用的なアプリケーションのアプローチの可能性を強調しています。
"Grigorios Papigkiotis, Georgios Vardakas, Aristidis Likas, Nikolaos Stergioulas",Universal description of the Neutron Star's surface and its key global properties: A Machine Learning Approach for nonrotating and rapidly rotating stellar models,"Neutron stars provide an ideal theoretical framework for exploring fundamental physics when nuclear matter surpasses densities encountered within atomic nuclei. Despite their paramount importance, uncertainties in the equation of state (EoS) have shrouded their internal structure. For rotating neutron stars, the shape of their surface is contingent upon the EoS and the rotational dynamics. This work proposes new universal relations regarding the star's surface, employing machine-learning techniques for regression. More specifically, we developed highly accurate universal relations for a neutron star's eccentricity, the star's ratio of the polar to the equatorial radius, and the effective gravitational acceleration at both the pole and the equator. Furthermore, we propose an accurate theoretical formula for $(d\log R(\mu)/d\theta)_{\max}$. This research addresses key astronomical aspects by utilizing these global parameters as features for the training phase of a neural network. Along the way, we introduce new effective parameterizations for each star's global surface characteristics. Our regression methodology enables accurate estimations of the star's surface $R(\mu)$, its corresponding logarithmic derivative $d\log R(\mu)/d\theta$, and its effective acceleration due to gravity $g(\mu)$ with accuracy better than $1 \%$. The analysis is performed for an extended sample of rotating configurations constructed using a large ensemble of 70 tabulated hadronic, hyperonic, and hybrid EoS models that obey the current multimessenger constraints and cover a wide range of stiffnesses. Above all, the suggested relations could provide an accurate framework for the star's surface estimation using data acquired from the NICER X-ray telescope or future missions, and constrain the EoS of nuclear matter when measurements of the relevant observables become available.",中性子星の表面とその主要なグローバル特性の普遍的な説明：非回転で迅速に回転する恒星モデルのための機械学習アプローチ,中性子星は、核物質が原子核内で遭遇する密度を上回る場合、基本物理学を探るための理想的な理論的枠組みを提供します。重要性が最も重要にもかかわらず、状態方程式（EOS）の不確実性は内部構造を覆い隠しています。中性子星を回転させると、その表面の形状はEOSと回転ダイナミクスに対抗します。この作業は、星の表面に関する新しい普遍的な関係を提案し、回帰のために機械学習技術を採用しています。より具体的には、中性子星の偏心性、赤道半径と極の星の比率、および極と赤道の両方での有効な重力加速のために、非常に正確な普遍的な関係を開発しました。さらに、$（d \ log r（\ mu）/d \ theta）_ {\ max} $の正確な理論式を提案します。この研究では、これらのグローバルパラメーターをニューラルネットワークのトレーニングフェーズの機能として利用することにより、重要な天文学的な側面に対処します。途中で、各星のグローバルな表面特性に新しい効果的なパラメーター化を導入します。回帰方法は、星の表面$ r（\ mu）$の正確な推定、対応する対数派生$ d \ log r（\ mu）/d \ theta $、および重力$ g（\ mu）による効果的な加速を可能にします。 $ $ 1 \％$よりも優れた精度で。この分析は、70のハドロニクス、ハイパーニック、およびハイブリッドEOSモデルの大規模なアンサンブルを使用して構築された回転構成の拡張サンプルに対して実行され、現在のマルチ包括客の制約に従い、幅広い剛性をカバーしています。とりわけ、提案された関係は、より優れたX線望遠鏡または将来のミッションから取得したデータを使用して、星の表面推定の正確なフレームワークを提供し、関連する観測可能性の測定が利用可能になったときに核物質のEOを制約します。
"Áulide Martínez-Tapia, Roberto de J. León-Montiel",Sample Classification using Machine Learning-Assisted Entangled Two-Photon Absorption,"Entangled two-photon absorption (eTPA) has been recognized as a potentially powerful tool for the implementation of ultra-sensitive spectroscopy. Unfortunately, there exists a general agreement in the quantum optics community that experimental eTPA signals, particularly those obtained from molecular solutions, are extremely weak. Consequently, obtaining spectroscopic information about an arbitrary sample via conventional methods rapidly becomes an unrealistic endeavor. To address this problem, we introduce an experimental scheme that reduces the amount of data needed to identify and classify unknown samples via their electronic structure. Our proposed method makes use of machine learning (ML) to extract information about the number of intermediate levels that participate in the two-photon excitation of the absorbing medium. This is achieved by training artificial neural networks (ANNs) with various eTPA signals where the delay between the absorbed photons is externally controlled. Inspired by multiple experimental studies of eTPA, we consider model systems comprising one to four intermediate levels, whose energies are randomly chosen from four different intermediate-level band gaps, namely: $\Delta\lambda = 10$, $20$, $30$, and $40$ nm. Within these band gaps, and with the goal of testing the efficiency of our artificial intelligence algorithms, we make use of three different wavelength spacing $1$, $0.5$ and $0.1$ nm. We find that for a proper entanglement time between the absorbed photons, classification average efficiencies exceed 99$\%$ for all configurations. Our results demonstrate the potential of artificial neural networks for facilitating the experimental implementation of eTPA spectroscopy.",機械学習補助2光子吸収を使用したサンプル分類,絡み合った2光子吸収（ETPA）は、超敏感な分光法の実装のための潜在的に強力なツールとして認識されています。残念ながら、量子光学コミュニティには、実験的なETPAシグナル、特に分子溶液から得られたものが非常に弱いという一般的な合意が存在します。その結果、従来の方法を介して任意のサンプルに関する分光情報を取得することは、急速に非現実的な努力になります。この問題に対処するために、電子構造を介して不明なサンプルを識別および分類するために必要なデータの量を減らす実験スキームを導入します。提案された方法では、機械学習（ML）を使用して、吸収媒体の2光子励起に関与する中間レベルの数に関する情報を抽出します。これは、吸収された光子間の遅延が外部で制御されるさまざまなETPA信号で人工ニューラルネットワーク（ANN）をトレーニングすることによって達成されます。 ETPAの複数の実験研究に触発された私たちは、1〜4つの中間レベルで構成されるモデルシステムを検討します。そのエネルギーは、4つの異なる中間レベルのバンドギャップからランダムに選択されます。 $ 40 $ nm。これらのバンドギャップ内で、人工知能アルゴリズムの効率をテストすることを目的として、3つの異なる波長間隔$ 1 $、$ 0.5 $、$ 0.1 $ nmを使用します。吸収された光子間の適切なエンタングルメント時間の場合、すべての構成で分類平均効率が99 $ \％$を超えることがわかります。我々の結果は、ETPA分光法の実験的実装を促進するための人工ニューラルネットワークの可能性を示しています。
"Aidan N. Sims, Dhrumil Patel, Aby Philip, Alex H. Rubin, Rahul Bandyopadhyay, Marina Radulaski, Mark M. Wilde",Digital Quantum Simulations of the Non-Resonant Open Tavis-Cummings Model,"The open Tavis-Cummings model consists of $N$ quantum emitters interacting with a common cavity mode, accounts for losses and decoherence, and is frequently explored for quantum information processing and designing quantum devices. As $N$ increases, it becomes harder to simulate the open Tavis-Cummings model using traditional methods. To address this problem, we implement two quantum algorithms for simulating the dynamics of this model in the inhomogenous, non-resonant regime, with up to three excitations in the cavity. We show that the implemented algorithms have gate complexities that scale polynomially, as $O(N^2)$ and $O(N^3)$. One of these algorithms is the sampling-based wave matrix Lindbladization algorithm, for which we propose two protocols to implement its system-independent fixed interaction, resolving key open questions of [Patel and Wilde, Open Sys. & Info. Dyn., 30:2350014 (2023)]. Furthermore, we benchmark our results against a classical differential equation solver and demonstrate the ability to simulate classically intractable systems.",非共振オープンタビスカミングモデルのデジタル量子シミュレーション,Open Tavis-Cummingsモデルは、共通のキャビティモードと相互作用する$ n $ Quantumエミッターで構成され、損失とデコヒーレンスを説明し、量子情報処理と量子デバイスの設計については頻繁に調査されます。 $ n $が増加すると、従来の方法を使用してOpen Tavis-Cummingsモデルをシミュレートすることが難しくなります。この問題に対処するために、空洞に最大3つの励起を伴う、不浸透性の非共振レジームでこのモデルのダイナミクスをシミュレートするための2つの量子アルゴリズムを実装します。実装されたアルゴリズムには、$ o（n^2）$および$ o（n^3）$として多項式的にスケーリングするゲートの複雑さがあることを示します。これらのアルゴリズムの1つは、サンプリングベースのウェーブマトリックスリンドブラディゼーションアルゴリズムです。これにより、システムに依存しない固定インタラクションを実装する2つのプロトコルを提案し、[Patel and Wilde、Open Sysの重要なオープンな質問を解決します。 ＆ 情報。 Dyn。、30：2350014（2023）]。さらに、結果は古典的な微分方程式ソルバーに対してベンチマークし、古典的に扱いにくいシステムをシミュレートする能力を実証します。
